record_type,review_status,review_decision,corrected_text,reviewer_notes,source_page,source_order,key,confidence,warnings,raw_text
"entry","pending","","","","10","6","Adar briaia","medium","parent_candidate_requires_review","Adar briaia (v) – to receive orders, to receive commands / recibir pedidos, recibir comandos"
"entry","pending","","","","10","7","Adar munaia","medium","parent_candidate_requires_review","Adar munaia (v) – to order, to command / ordenar, mandar, pedir"
"entry","pending","","","","10","8","Adar mamunra","medium","parent_candidate_requires_review","Adar mamunra (n-agent/s-agente) – one who gives orders, one who gives commands / uno que da\nórdenes"
"entry","pending","","","","10","9","Adar raya","medium","parent_candidate_requires_review","Adar raya (n/s) – new order, new command / nuevo orden, nuevo mandato"
"entry","pending","","","","10","10","Adar yabaia","medium","parent_candidate_requires_review","Adar yabaia (v) – to give an order, to give a command / dar una orden, dar un mandato"
"entry","pending","","","","10","12","Ahkia ahkia","medium","parent_candidate_requires_review","Ahkia ahkia – whenever, anytime / en cualquier momento, cuando quiera que"
"entry","pending","","","","10","13","Ahkia piua ra?","medium","parent_candidate_requires_review","Ahkia piua ra? – At what time?, When? / ¿A qué hora?, ¿Cuándo?\n(ExEj(wqu-04/20): Joel 2:28,29 aisi ba ahkia piua ra aimakan ki? – When was Joel 2:28,29 fulfilled? / ¿Cuando se cumplió\nJoel 2:28,29?)"
"entry","pending","","","","10","14","Ahkia kat?","medium","parent_candidate_requires_review","Ahkia kat? – Until when? / ¿Hasta cuándo?"
"entry","pending","","","","10","17","Aikaia (v-irregularity of / irregularidad de: Yabaia","medium","parent_candidate_requires_review","Aikaia (v-irregularity of / irregularidad de: Yabaia – to give / dar; See also/ Ver también: Maikaia & Wankaia) –\nto give me, to allow me, to cause me / darme, permitirme, causarme (See entry below/ Ver entrada debajo:\nAikaia)"
"entry","pending","","","","10","18","Ai wis","medium","parent_candidate_requires_review","Ai wis (v-imp) – tell me / dime, digame, diganme"
"entry","pending","","","","10","21","Inska âialkra","medium","parent_candidate_requires_review","Inska âialkra (n-agent/s-agente) – fisherman / pescador"
"entry","pending","","","","10","25","Aiawanka","medium","parent_candidate_requires_review","Aiawanka (a/t: Aiauanka) (n/s) – movement of the body / movimiento del cuerpo"
"entry","pending","","","","10","26","Aiawikira","medium","parent_candidate_requires_review","Aiawikira (a/t: Aiauikira) (adj,adv) – active, actively, moving, in motion / activo, activamente, en movimiento\nAibanhwaia (see/ver: Banhwaia)"
"entry","pending","","","","11","28","Âiaibapra","medium","parent_candidate_requires_review","Âiaibapra (n-agent/s-agente) –payer, the one who pays / pagador, uno que paga"
"entry","pending","","","","11","29","Mana aibapaia","medium","parent_candidate_requires_review","Mana aibapaia (v) – to pay a salary, to pay a wage, to pay a price / pagar un salario, pagar un precio\n(ExEj(hf14): Wark takram mana mai aibapi ba pamalikam lalahka baku kaiks, man silp lalahkam baku kaikpara. – View\nthe salary you are being paid at your work as family money, don’t view it as your own money. / Vea el salario que le pagan\nen su trabajo como dinero familiar, no lo vea como su propio dinero.)"
"entry","pending","","","","11","33","Aidrubanka","medium","parent_candidate_requires_review","Aidrubanka (n/s) – meeting, the act of meeting together / reunión, el acto de reunirse\n(Ex/Ej(mwb-03/22): Aidrubanka kum tânka tara bri ba ra mai paiwaia want sna – I want to invite you to a special meeting\n/ Quiero invitarlo a una reunión especial)\n(Ex/Ej(mwb-01/22):Baibil stadi tatakra nani ba aidrubanka nani ra ban dimisa taim, spirit lainka ra kau isti pâwisa. –\nWhen the Bible student attends meetings regularly, they grow spiritually more quickly. / Cuando el estudiante de la Biblia\nasiste a las reuniones regularmente, crece espiritualmente más rápidamente.)"
"entry","pending","","","","11","34","Aidrubanka Kau Tara","medium","parent_candidate_requires_review","Aidrubanka Kau Tara (n/s) – regional convention / asamblea regional"
"entry","pending","","","","11","35","Aidrubanka ra waia paiwanka","medium","parent_candidate_requires_review","Aidrubanka ra waia paiwanka (n/s) – meeting invitation / invitación a reuniones"
"entry","pending","","","","11","36","Aidrubanka ra ya nani aisanka yabia wauhkataya","medium","parent_candidate_requires_review","Aidrubanka ra ya nani aisanka yabia wauhkataya – talk schedule / programa de discursos"
"entry","pending","","","","11","37","Asla aidrubanka","medium","parent_candidate_requires_review","Asla aidrubanka – meeting / reunion\n(Ex/Ej(mwb): Uplika ra asla aidrubanka kum ra paiws. – Invite the person to a meeting. / Invite a la persona a una\nreunion.)"
"entry","pending","","","","11","38","Asla Aidrubanka Watla","medium","parent_candidate_requires_review","Asla Aidrubanka Watla (n/s) – Kingdom Hall / Salón del Reino\n(Note/Nota: A Kingdom Hall formerly was called Kingka Lâka Watla / Un Salón del Reino se llamaba anteriormente\nKingka Lâka Watla)"
"entry","pending","","","","11","39","Aidrubanka Watla ra ulbi sakanka bâra ba","medium","parent_candidate_requires_review","Aidrubanka Watla ra ulbi sakanka bâra ba (n/s) – the books at the Kingdom Hall, Kingdom Hall\nlibrary / los libros en el Salón del Reino, biblioteca del Salón del Reino"
"entry","pending","","","","11","40","Asla Aidrubanka Watla Tara","medium","parent_candidate_requires_review","Asla Aidrubanka Watla Tara (n/s) – Assembly Hall / Salón del Asambleas"
"entry","pending","","","","11","41","Smalki taki waia aidrubanka","medium","parent_candidate_requires_review","Smalki taki waia aidrubanka (n/s) – meeting for field service / reunión para el servicio del campo"
"entry","pending","","","","11","42","Yu kumi aidrubanka tara","medium","parent_candidate_requires_review","Yu kumi aidrubanka tara (n/s) – circuit assembly, one-day assembly / asamblea de circuito, asamblea de\nun día"
"entry","pending","","","","11","43","Yu kumi aidrubanka tara programka","medium","parent_candidate_requires_review","Yu kumi aidrubanka tara programka (n/s) – Circuit assembly program / Programa de la asamblea\nde circuito"
